recipe_id,tag_name
96313,time-to-make
96313,course
96313,main-ingredient
96313,preparation
96313,occasion
96313,side-dishes
96313,eggs-dairy
96313,refrigerator
96313,diabetic
96313,vegetarian
96313,grains
96313,cheese
96313,stove-top
96313,dietary
96313,low-cholesterol
96313,low-calorie
96313,comfort-food
96313,low-carb
96313,low-in-something
96313,pasta-rice-and-grains
96313,brunch
96313,taste-mood
96313,equipment
96313,presentation
96313,served-hot
96313,4-hours-or-less
232037,60-minutes-or-less
232037,time-to-make
232037,course
232037,main-ingredient
232037,preparation
232037,main-dish
232037,pork
232037,seafood
232037,easy
232037,shrimp
232037,one-dish-meal
232037,meat
232037,pork-sausage
232037,shellfish
41090,15-minutes-or-less
41090,time-to-make
41090,course
41090,main-ingredient
41090,cuisine
41090,preparation
41090,occasion
41090,north-american
41090,salads
41090,side-dishes
41090,beans
41090,american
41090,easy
41090,no-cook
41090,potluck
41090,dinner-party
41090,picnic
41090,spring
41090,summer
41090,vegan
41090,vegetarian
41090,dietary
41090,seasonal
41090,inexpensive
41090,black-beans
41090,to-go
41090,number-of-servings
41090,3-steps-or-less
41090,technique
60656,weeknight
60656,time-to-make
60656,course
60656,main-ingredient
60656,preparation
60656,occasion
60656,side-dishes
60656,vegetables
60656,easy
60656,beginner-cook
60656,fall
60656,vegetarian
60656,winter
60656,crock-pot-slow-cooker
60656,dietary
60656,seasonal
60656,squash
60656,equipment
60656,3-steps-or-less
232047,time-to-make
232047,course
232047,main-ingredient
232047,preparation
232047,main-dish
232047,beef
232047,easy
232047,meat
232047,4-hours-or-less
232050,time-to-make
232050,course
232050,preparation
232050,desserts
232050,candy
232050,dietary
232050,low-cholesterol
232050,low-in-something
232050,4-hours-or-less
232076,30-minutes-or-less
232076,time-to-make
232076,course
232076,main-ingredient
232076,preparation
232076,casseroles
232076,main-dish
232076,poultry
232076,oven
232076,chicken
232076,one-dish-meal
232076,meat
232076,equipment
232083,60-minutes-or-less
232083,time-to-make
232083,course
232083,main-ingredient
232083,cuisine
232083,preparation
232083,south-west-pacific
232083,breakfast
232083,eggs-dairy
232083,vegetables
232083,australian
232083,eggs
232083,dietary
232083,gluten-free
232083,free-of-something
232083,asparagus
79222,60-minutes-or-less
79222,time-to-make
79222,course
79222,main-ingredient
79222,cuisine
79222,preparation
79222,occasion
79222,north-american
79222,healthy
79222,soups-stews
79222,potatoes
79222,seafood
79222,vegetables
79222,low-fat
79222,chowders
79222,crab
79222,crock-pot-slow-cooker
79222,stove-top
79222,dietary
79222,low-sodium
79222,low-cholesterol
79222,low-calorie
79222,comfort-food
79222,healthy-2
79222,low-in-something
79222,shellfish
79222,taste-mood
79222,equipment
393638,30-minutes-or-less
393638,time-to-make
393638,course
393638,main-ingredient
393638,preparation
393638,lunch
393638,beef
